"","ID","DATE","ELEMENT","VALUE","MFLAG","QFLAG","SFLAG","NAME","LONGITUDE","LATITUDE","ELEVATION","elevation","tmax_normal_annual","vpdmax_normal_annual","tdmean_normal_annual","tmean_normal_annual","tmin_normal_annual","vpdmin_normal_annual","ppt_normal_annual","slope","aspect","ppt_2021_02","ppt_2021_03","CV_GAM_MODEL","CV_RF_MODEL","CV_LM_MODEL","CV_GAM_RASTER_PREDS","CV_RF_RASTER_PREDS","CV_LM_RASTER_PREDS","CV_GAM_SNODAS_50_50","CV_GAM_SNODAS_60_40","CV_GAM_SNODAS_70_30","CV_GAM_SNODAS_80_20","CV_GAM_SNODAS_90_10","CV_GAM_SNODAS_100","SNODAS_VALUE","UA_VALUE","DAYMET_VALUE"
"1180078","USS0012J06S",1982-04-01,"WESD",863.6," "," ","T","Rocky Basin-Settleme",-112.24,40.44,2712.7,2801,9.64999961853027,9.60999965667725,-5.44000005722046,4.07999992370605,-1.49000000953674,2.88000011444092,1033.88000488281,15.4601159747304,297.55999341382,122.632598876953,75.5633010864258,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1219417","USS0012K01S",1982-04-01,"WESD",337.8," "," ","T","Vernon Creek",-112.41,39.94,2255.8,2159,13.6999998092651,14,-3.65000009536743,7.63000011444092,1.54999995231628,3.28999996185303,626.210021972656,4.63514412495836,29.4657738926665,59.108097076416,66.0580978393555,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1239877","USS0012L04S",1982-04-01,"WESD",452.1," "," ","T","Box Creek",-112.02,38.51,2995.6,2990,10.1099996566772,10.5,-7.1100001335144,3.86999988555908,-2.38000011444092,2.58999991416931,697.380004882812,3.22107257228089,163.569034462601,72.0634994506836,53.4351005554199,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1259934","USS0012L06S",1982-04-01,"WESD",553.7," "," ","T","Kimberly Mine",-112.39,38.48,2782.5,2810,11.2399997711182,11.3299999237061,-6.32000017166138,4.78999996185303,-1.6599999666214,2.67000007629395,890.619995117188,11.2162683453706,324.123702985773,85.5974960327148,84.5018005371094,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1276209","USS0012L07S",1982-04-01,"WESD",683.3," "," ","T","Big Flat",-112.36,38.3,3154.4,3146,8.55000019073486,9.36999988555908,-7.86999988555908,2.51999998092651,-3.51999998092651,2.25,862.809997558594,5.98660258488345,283.107105285724,116.113395690918,112.369697570801,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1291802","USS0012L12S",1982-04-01,"WESD",447," "," ","T","Merchant Valley",-112.44,38.3,2652.7,2652,12.4399995803833,12.9899997711182,-7.13000011444092,4.36999988555908,-3.71000003814697,2.48000001907349,741.869995117188,4.87798828052245,143.044074714254,94.8209991455078,87.8382949829102,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1326894","USS0012M03S",1982-04-01,"WESD",561.3," "," ","T","Webster Flat",-112.9,37.58,2805.1,2743,11.0799999237061,11.0500001907349,-5.44000005722046,5.05999994277954,-0.97000002861023,2.55999994277954,780.309997558594,5.01154470198763,315.37290405088,51.6522979736328,56.7056999206543,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1342518","USS0012M05S",1982-04-01,"WESD",264.2," "," ","T","Harris Flat",-112.58,37.49,2377.4,2380,14.0699996948242,14.8299999237061,-5.73000001907349,5.92000007629395,-2.24000000953674,2.49000000953674,529.700012207031,0.598081956082636,188.737768483677,19.2537002563477,35.0326995849609,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1378199","USS0012M13S",1982-04-01,"WESD",472.4," "," ","T","Castle Valley",-112.74,37.66,2920,2898,10.1700000762939,10.3000001907349,-6.09999990463257,3.4300000667572,-3.3199999332428,2.05999994277954,667.140014648438,2.02499271320834,93.6726618639357,44.8334007263184,58.3622970581055,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1401108","USS0012M23S",1982-04-01,"WESD",795," "," ","T","Midway Valley",-112.84,37.57,2987,3036,8.77999973297119,9.38000011444092,-6.82999992370605,2.86999988555908,-3.03999996185303,1.61000001430511,905.690002441406,0.53521997388831,225.54025203458,49.4127006530762,55.4953994750977,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
